Date,Ayrshire and Arran,Borders,Dumfries and Galloway,Fife,Forth Valley,Grampian,Greater Glasgow and Clyde,Highland,Lanarkshire,Lothian,Orkney,Shetland,Tayside,Western Isles
2021-01-03,9925,1858,2137,6656,5936,8518,43234,2442,25373,19389,39,149,8830,107
2021-01-04,10037,1921,2224,6751,6027,8751,43682,2532,25694,19609,39,150,8974,107
2021-01-05,10198,1964,2337,6891,6173,8971,44377,2622,26082,19931,39,151,9184,107
2021-01-06,10392,2013,2413,6980,6261,9177,44980,2705,26378,20095,41,163,9361,107
2021-01-07,10575,2071,2496,7125,6418,9479,45640,2805,26767,20452,41,168,9570,108
2021-01-08,10746,2101,2602,7271,6546,9671,46332,2863,27157,20672,42,170,9742,109
2021-01-09,10856,2145,2646,7376,6635,9870,46819,2960,27462,20909,45,172,9882,112
2021-01-10,10996,2184,2731,7495,6709,10057,47350,3028,27740,21097,45,175,10047,112
2021-01-11,11140,2221,2784,7566,6794,10178,47944,3095,28047,21271,45,175,10176,112
2021-01-12,11302,2266,2855,7667,6877,10314,48551,3152,28327,21485,45,182,10285,115
2021-01-13,11436,2291,2910,7783,6967,10480,49143,3210,28685,21677,45,185,10445,115
2021-01-14,11560,2312,2976,7870,7047,10685,49669,3278,28927,21854,45,185,10548,123
2021-01-15,11729,2347,3044,8004,7185,10847,50305,3359,29266,22116,46,189,10679,123
2021-01-16,11899,2372,3113,8082,7299,11010,50771,3413,29561,22285,48,189,10810,140
2021-01-17,12024,2382,3161,8157,7373,11141,51183,3456,29787,22408,48,192,10881,140
2021-01-18,12140,2411,3199,8218,7443,11254,51634,3477,30031,22586,49,195,10971,154
2021-01-19,12236,2425,3234,8300,7504,11340,51988,3499,30209,22728,51,200,11054,159
2021-01-20,12377,2449,3277,8370,7615,11492,52500,3543,30464,22879,53,203,11198,163
